Time; ConsInst; ProdInst; ConsSinceBeg; ProdSinceBeg;
254,0; 1,6238608564864925E8; 9,360126207190619E9; 8,720651929440764E10; 1,477276039259037E12; 
255,0; 1,4802950211171633E8; 2,4005048287620595E8; 8,735454879651935E10; 1,4775160897419133E12; 
256,0; 1,4977021883085948E8; 2,4005048287620595E8; 8,75043190153502E10; 1,4777561402247896E12; 
257,0; 1,6276431317922413E8; 9,360126207190619E9; 8,766708332852943E10; 1,4871162664319802E12; 
258,0; 1,5035658325219804E8; 2,4012620719051188E8; 8,781743991178163E10; 1,4873563926391707E12; 
259,0; 1,6612025613305026E8; 9,360126207190619E9; 8,798356016791469E10; 1,4967165188463613E12; 
260,0; 1,4831589266221577E8; 2,4012620719051188E8; 8,81318760605769E10; 1,4969566450535518E12; 
261,0; 1,6200318638127202E8; 9,360126207190619E9; 8,829387924695818E10; 1,5063167712607424E12; 
262,0; 1,488474188358525E8; 2,4012620719051188E8; 8,844272666579402E10; 1,5065568974679329E12; 
263,0; 1,499697286220859E8; 2,4012620719051188E8; 8,85926963944161E10; 1,5067970236751233E12; 
264,0; 1,6187863001860204E8; 2,4012620719051188E8; 8,875457502443471E10; 1,5070371498823137E12; 
265,0; 1,5052586337572008E8; 2,4005048287620595E8; 8,890510088781042E10; 1,50727720036519E12; 
266,0; 1,653454510425109E8; 9,360126207190619E9; 8,907044633885294E10; 1,5166373265723806E12; 
267,0; 1,4843970654981458E8; 2,4012620719051188E8; 8,921888604540276E10; 1,516877452779571E12; 
268,0; 1,6295450703126746E8; 9,360126207190619E9; 8,938184055243402E10; 1,5262375789867617E12; 
269,0; 1,4907520461292726E8; 2,4012620719051188E8; 8,953091575704695E10; 1,5264777051939521E12; 
